   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  3.44859167E-06 -3.44859167E-06 -1.81949790E-01  1.81949790E-01  0.00000000E+00
     100  9.34045785E-07  4.01138596E-06 -5.98360723E-01  5.98360723E-01  0.00000000E+00
     200 -5.57459769E-07 -2.34175355E-07 -5.42845066E-01  5.42845066E-01  0.00000000E+00
     300 -8.37443202E-08 -8.79548261E-08 -5.48852685E-01  5.48852685E-01  0.00000000E+00
     400 -3.92311607E-08  8.79530485E-08 -5.48428128E-01  5.48428128E-01  0.00000000E+00
     500 -7.44219718E-08  6.38518391E-08 -5.48310721E-01  5.48310721E-01  0.00000000E+00
   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  3.44859167E-06 -3.44859167E-06 -1.81949790E-01  1.81949790E-01  0.00000000E+00
     100 -5.24313148E-04 -9.95199900E-04 -5.81895986E-01  5.81897073E-01  0.00000000E+00
     200  3.54473166E-03 -1.82741156E-03 -5.21822219E-01  5.21837458E-01  0.00000000E+00
     300 -1.01430081E-03  1.81107461E-03 -5.24999054E-01  5.25003158E-01  0.00000000E+00
     400  4.26803264E-03 -2.42727004E-03 -5.26576481E-01  5.26599371E-01  0.00000000E+00
     500 -7.57779394E-03 -2.29698376E-03 -5.23259290E-01  5.23319199E-01  0.00000000E+00
     600 -4.25743036E-03  9.20812442E-04 -5.29809030E-01  5.29826936E-01  0.00000000E+00
     700 -1.66328447E-03 -2.54110749E-03 -5.24813243E-01  5.24822031E-01  0.00000000E+00
     800 -3.89022200E-03 -3.64676535E-03 -5.25245088E-01  5.25272153E-01  0.00000000E+00
     900  5.85305744E-04  2.58102720E-03 -5.24458001E-01  5.24464679E-01  0.00000000E+00
    1000 -2.45958882E-03  3.12966991E-03 -5.18361193E-01  5.18376475E-01  0.00000000E+00
    1100  2.43250583E-03 -1.18221085E-03 -5.23657349E-01  5.23664334E-01  0.00000000E+00
    1200  2.88919248E-04  6.64093548E-04 -5.17059272E-01  5.17059779E-01  0.00000000E+00
    1300  2.14147023E-03  1.07309402E-03 -5.20384994E-01  5.20390507E-01  0.00000000E+00
    1400  2.83976149E-03  6.27960203E-03 -5.19839062E-01  5.19884745E-01  0.00000000E+00
    1500  2.10043385E-03  2.92739039E-03 -5.17574645E-01  5.17587185E-01  0.00000000E+00
    1600 -1.11521863E-03  2.74070056E-04 -5.19979500E-01  5.19980768E-01  0.00000000E+00
    1700 -3.19610086E-03  4.32823663E-03 -5.17516419E-01  5.17544387E-01  0.00000000E+00
    1800  5.81219112E-04  1.09065720E-03 -5.20213543E-01  5.20215011E-01  0.00000000E+00
    1900  4.19786022E-03  6.10533316E-03 -5.21406129E-01  5.21458770E-01  0.00000000E+00
    2000  1.92993577E-03  1.28523441E-03 -5.15426667E-01  5.15431882E-01  0.00000000E+00
    2100 -5.25364803E-04 -3.09011401E-03 -5.18859137E-01  5.18868605E-01  0.00000000E+00
    2200 -2.71037185E-03  3.56258546E-03 -5.19115696E-01  5.19134996E-01  0.00000000E+00
    2300 -9.04476221E-04 -2.96938022E-03 -5.20370581E-01  5.20379839E-01  0.00000000E+00
    2400 -1.83854108E-03 -4.46089923E-04 -5.16724800E-01  5.16728263E-01  0.00000000E+00
    2500 -1.43257642E-03 -2.38639391E-03 -5.20519887E-01  5.20527329E-01  0.00000000E+00
    2600 -4.90909311E-03  2.85932999E-03 -5.16932435E-01  5.16963652E-01  0.00000000E+00
    2700  1.53781017E-03 -4.48636021E-05 -5.20884790E-01  5.20887062E-01  0.00000000E+00
    2800 -2.43574239E-03  5.70167300E-03 -5.17815804E-01  5.17852922E-01  0.00000000E+00
    2900  1.16179268E-04  3.82371490E-03 -5.06530076E-01  5.06544521E-01  0.00000000E+00
    3000  1.42447445E-03 -5.62840682E-03 -5.17856442E-01  5.17888986E-01  0.00000000E+00
    3100 -4.31275285E-04 -3.90867437E-03 -5.16309030E-01  5.16324005E-01  0.00000000E+00
    3200  3.54323160E-03 -1.15142739E-03 -5.20282393E-01  5.20295732E-01  0.00000000E+00
    3300 -1.11843200E-04 -3.17373200E-04 -5.17152760E-01  5.17152870E-01  0.00000000E+00
    3400 -2.17146547E-03  3.56067308E-03 -5.15142140E-01  5.15159022E-01  0.00000000E+00
    3500 -2.09197767E-03  2.06192395E-03 -5.17725686E-01  5.17734019E-01  0.00000000E+00
    3600 -1.47703698E-03  1.86579003E-03 -5.22927197E-01  5.22932612E-01  0.00000000E+00
    3700  3.82100324E-03 -3.50212715E-03 -5.16727686E-01  5.16753681E-01  0.00000000E+00
    3800 -1.77271698E-03  2.64835142E-03 -5.21233356E-01  5.21243099E-01  0.00000000E+00
    3900 -8.98211280E-04 -5.68200231E-03 -5.17749621E-01  5.17781578E-01  0.00000000E+00
    4000 -2.45314278E-05 -7.53254135E-04 -5.17090633E-01  5.17091182E-01  0.00000000E+00
    4100 -3.62603024E-04  3.33210078E-03 -5.18469849E-01  5.18480683E-01  0.00000000E+00
    4200 -2.97088971E-03  2.07783624E-03 -5.18319415E-01  5.18332093E-01  0.00000000E+00
    4300  3.66998691E-03 -1.87007171E-03 -5.12294483E-01  5.12311042E-01  0.00000000E+00
    4400  3.41276283E-03  4.39401416E-03 -5.16646548E-01  5.16676505E-01  0.00000000E+00
    4500 -1.62447286E-03  2.19678024E-03 -5.20146597E-01  5.20153772E-01  0.00000000E+00
    4600  1.39198304E-03 -3.89427442E-04 -5.21459346E-01  5.21461350E-01  0.00000000E+00
    4700  3.86690660E-03 -3.69038299E-03 -5.18444890E-01  5.18472444E-01  0.00000000E+00
    4800 -5.14718533E-04 -2.57941036E-03 -5.21784040E-01  5.21790670E-01  0.00000000E+00
    4900 -3.23515963E-04 -3.31925201E-03 -5.21073648E-01  5.21084321E-01  0.00000000E+00
    5000  3.15707164E-03 -1.70033576E-03 -5.18654812E-01  5.18667208E-01  0.00000000E+00
